id,term,category,weight
1,restrain,TIGHT,1
2,prevent,TIGHT,1
3,comply,TIGHT,1
4,constrain,TIGHT,1
5,uniformity,TIGHT,1
6,adhere,TIGHT,1
7,enforce,TIGHT,1
8,proscribe,TIGHT,1
9,abide,TIGHT,1
10,dictate,TIGHT,1
11,circumscribe,TIGHT,1
12,impose,TIGHT,1
13,uphold,TIGHT,1
14,discourage,TIGHT,1
15,compel,TIGHT,1
16,forbid,TIGHT,1
17,confine,TIGHT,1
18,govern,TIGHT,1
19,prohibit,TIGHT,1
20,preclude,TIGHT,1
21,behave_decently,TIGHT,1
22,preempt,TIGHT,1
23,prevents,TIGHT,1
24,interfere,TIGHT,1
25,supersede,TIGHT,1
26,protect,TIGHT,1
27,applied_evenhandedly,TIGHT,1
28,satisfy,TIGHT,1
29,preclude,TIGHT,1
30,pre_empt,TIGHT,1
31,animeon_dcd.com_reserves,TIGHT,1
32,violate,TIGHT,1
33,confines,TIGHT,1
34,legislate,TIGHT,1
35,forestall,TIGHT,1
36,abided,TIGHT,1
37,fulfill,TIGHT,1
38,rigidly_enforce,TIGHT,1
39,impinge,TIGHT,1
40,dissuade,TIGHT,1
41,rein,TIGHT,1
42,accede,TIGHT,1
43,derogate,TIGHT,1
44,analogize,TIGHT,1
45,younger_sea_lions,TIGHT,1
46,foreswear,TIGHT,1
47,allow,LOOSE,1
48,freedom,LOOSE,1
49,create,LOOSE,1
50,variability,LOOSE,1
51,autonomy,LOOSE,1
52,openness,LOOSE,1
53,leeway,LOOSE,1
54,flexibility,LOOSE,1
55,broadmindedness,LOOSE,1
56,transformatory,LOOSE,1
57,customize,LOOSE,1
58,subjectivities,LOOSE,1
59,modify,LOOSE,1
60,limitless,LOOSE,1
61,empower,LOOSE,1
62,adaptiveness,LOOSE,1
63,pluralism,LOOSE,1
64,personalize,LOOSE,1
65,encourage,LOOSE,1
66,diverse,LOOSE,1
67,consociational,LOOSE,1
68,unfetter,LOOSE,1
69,heroic_dragon_slayers,LOOSE,1
70,coexist_harmoniously,LOOSE,1
71,gravatars,LOOSE,1
72,adaptive,LOOSE,1
73,alcornites,LOOSE,1
74,incorporate,LOOSE,1
75,eternalize,LOOSE,1
76,re-articulate,LOOSE,1
77,stylize,LOOSE,1
78,broaden_horizons,LOOSE,1
79,truest_expression,LOOSE,1
80,infantilise,LOOSE,1
81,select,LOOSE,1
82,enforcing_habeas_corpus,LOOSE,1
83,develop,LOOSE,1
84,utilize,LOOSE,1
85,empowers,LOOSE,1
86,disempowers,LOOSE,1
87,transcend,LOOSE,1
88,unite,LOOSE,1
89,secular_therapists,LOOSE,1
90,embrace,LOOSE,1
91,musicians_poets_storytellers,LOOSE,1
92,rescue,LOOSE,1
